Question #,Segment,Subsegment,Question,Question ID,Chart ID,Chart label,Chart style,Chart description
16,Sales,,What is the average basket size per customer visit?,sales-what-is-the-average-basket,waste-kpi,Total waste this week · estate,Big number + sparkline,Single metric with 8-period trend (locked to half width)
17,Sales,,How does site performance rank against the network average?,sales-how-does-site-performance-rank,growth,Month-on-month growth by site,Horizontal diverging bar,Per-site ± change around zero
18,Sales,,What were sales during the breakfast vs lunch vs afternoon daypart?,sales-what-were-sales-during-the,daypart,Revenue by daypart · per site,Horizontal stacked bar,Composition by daypart per site
19,Sales,,Which sites underperformed against their sales target this month?,sales-which-sites-underperformed-against-their,cogs,COGS variance vs budget by site,Horizontal diverging bar,Variance vs budget by site
20,Sales,,How has our average transaction value changed over the last quarter?,sales-how-has-our-average-transaction,trend,Revenue trend — last 12 weeks,Area chart,Single-metric area over time (12-week default)
21,COGS,,What is our COGS as a percentage of revenue across all sites this month?,cogs-what-is-our-cogs-as,labour,Revenue per labour hour by site,Coloured bar by site,"Single £/metric per site, coloured by threshold"
22,COGS,,Which site has the highest COGS variance against theoretical this week?,cogs-which-site-has-the-highest,cogs,COGS variance vs budget by site,Horizontal diverging bar,Variance vs budget by site
23,COGS,,What are the top 5 ingredients driving the most cost this month?,cogs-what-are-the-top-5,waste-top10,Top 10 most wasted items · network,Ranked horizontal bar,Top N ranked by value
24,COGS,,How has our overall COGS % trended over the last 12 weeks?,cogs-how-has-our-overall-cogs,trend,Revenue trend — last 12 weeks,Area chart,Single-metric area over time (12-week default)
25,COGS,,Which menu items have the lowest gross margin?,cogs-which-menu-items-have-the,waste-top10,Top 10 most wasted items · network,Ranked horizontal bar,Top N ranked by value
26,COGS,,What is the theoretical vs actual COGS gap at each site?,cogs-what-is-the-theoretical-vs,labour-hours,Actual vs scheduled labour hours · this week,Grouped bar,Two side-by-side bars per category
27,COGS,,Which supplier invoices have the largest price variance vs contract rates?,cogs-which-supplier-invoices-have-the,growth,Month-on-month growth by site,Horizontal diverging bar,Per-site ± change around zero
28,COGS,,How much did coffee bean costs change after our last supplier review?,cogs-how-much-did-coffee-bean,waste-kpi,Total waste this week · estate,Big number + sparkline,Single metric with 8-period trend (locked to half width)
29,COGS,,What is the cost per serving for our top 10 selling items?,cogs-what-is-the-cost-per,waste-top10,Top 10 most wasted items · network,Ranked horizontal bar,Top N ranked by value
30,COGS,,Which sites are consistently over their COGS budget?,cogs-which-sites-are-consistently-over,cogs,COGS variance vs budget by site,Horizontal diverging bar,Variance vs budget by site
31,COGS,,What is the ingredient cost breakdown for our signature latte?,cogs-what-is-the-ingredient-cost,eatin,Sales split · eat-in v takeaway v delivery,Donut chart,Part-of-whole split (locked to half width)
32,COGS,,How does dairy cost as a % of COGS compare site to site?,cogs-how-does-dairy-cost-as,labour,Revenue per labour hour by site,Coloured bar by site,"Single £/metric per site, coloured by threshold"
33,COGS,,Which recipes show the biggest gap between actual and theoretical usage?,cogs-which-recipes-show-the-biggest,produced-sold,Produced v sold · yesterday,Dumbbell (custom SVG),"Two values per item, connected by a line"
34,COGS,,What is our average food cost % vs drink cost %?,cogs-what-is-our-average-food,eatin,Sales split · eat-in v takeaway v delivery,Donut chart,Part-of-whole split (locked to half width)
35,COGS,,How much has our COGS increased in absolute terms vs the same period last year?,cogs-how-much-has-our-cogs,lfl,This week v same week last year,Multi-series line,Period-over-period comparison (two lines)
36,COGS,,Which ingredient has seen the biggest price increase in the last 6 months?,cogs-which-ingredient-has-seen-the,waste-top10,Top 10 most wasted items · network,Ranked horizontal bar,Top N ranked by value
37,COGS,,What is the COGS impact if we switch to oat milk as our default alt milk?,cogs-what-is-the-cogs-impact,waste-kpi,Total waste this week · estate,Big number + sparkline,Single metric with 8-period trend (locked to half width)
38,COGS,,Which sites have the most accurate portion control based on COGS variance?,cogs-which-sites-have-the-most,labour-pct,Labour % of sales · vs target,Bullet chart,Actual vs target per site with threshold markers
39,COGS,,How does our COGS % compare across different dayparts?,cogs-how-does-our-cogs-compare,daypart,Revenue by daypart · per site,Horizontal stacked bar,Composition by daypart per site
40,COGS,,What would our COGS % be if we removed our three lowest-margin items?,cogs-what-would-our-cogs-be,waste-kpi,Total waste this week · estate,Big number + sparkline,Single metric with 8-period trend (locked to half width)
41,Labour,,What is labour as a percentage of sales across all sites this month?,labour-what-is-labour-as-a,labour-pct,Labour % of sales · vs target,Bullet chart,Actual vs target per site with threshold markers
42,Labour,,Which site has the highest labour cost per transaction?,labour-which-site-has-the-highest,labour,Revenue per labour hour by site,Coloured bar by site,"Single £/metric per site, coloured by threshold"
43,Labour,,How does actual vs scheduled hours compare across the network this week?,labour-how-does-actual-vs-scheduled,labour-hours,Actual vs scheduled labour hours · this week,Grouped bar,Two side-by-side bars per category
44,Labour,,Which day of the week has the highest labour cost relative to revenue?,labour-which-day-of-the-week,labour-day-radial,Labour cost % by day of week,Radial / polar bars,Cyclic day-of-week data (locked to half width)
45,Labour,,What is the average hourly labour cost per site?,labour-what-is-the-average-hourly,labour,Revenue per labour hour by site,Coloured bar by site,"Single £/metric per site, coloured by threshold"
46,Labour,,Which sites are consistently over their labour budget?,labour-which-sites-are-consistently-over,labour-pct,Labour % of sales · vs target,Bullet chart,Actual vs target per site with threshold markers
47,Labour,,How does our labour % compare in the morning rush vs the afternoon?,labour-how-does-our-labour-compare,daypart,Revenue by daypart · per site,Horizontal stacked bar,Composition by daypart per site
48,Labour,,What is the revenue per team member across each site?,labour-what-is-the-revenue-per,labour,Revenue per labour hour by site,Coloured bar by site,"Single £/metric per site, coloured by threshold"
49,Labour,,How many overtime hours were recorded across the network last month?,labour-how-many-overtime-hours-were,waste-kpi,Total waste this week · estate,Big number + sparkline,Single metric with 8-period trend (locked to half width)
50,Labour,,"Which role type accounts for the most labour cost — barista, shift lead, or manager?",labour-which-role-type-accounts-for,eatin,Sales split · eat-in v takeaway v delivery,Donut chart,Part-of-whole split (locked to half width)
51,Labour,,How has our labour % trended since the minimum wage increase?,labour-how-has-our-labour-trended,trend,Revenue trend — last 12 weeks,Area chart,Single-metric area over time (12-week default)
52,Labour,,Which site has the best revenue-to-labour ratio?,labour-which-site-has-the-best,labour,Revenue per labour hour by site,Coloured bar by site,"Single £/metric per site, coloured by threshold"
53,Labour,,What is the variance between scheduled and actual hours at our busiest site?,labour-what-is-the-variance-between,labour-hours,Actual vs scheduled labour hours · this week,Grouped bar,Two side-by-side bars per category
54,Labour,,How does weekend labour cost compare to weekday labour cost?,labour-how-does-weekend-labour-cost,eatin,Sales split · eat-in v takeaway v delivery,Donut chart,Part-of-whole split (locked to half width)
55,Labour,,Which sites have the highest staff turnover cost in the last 6 months?,labour-which-sites-have-the-highest,waste-top10,Top 10 most wasted items · network,Ranked horizontal bar,Top N ranked by value
56,Labour,,What is our total weekly labour cost broken down by site?,labour-what-is-our-total-weekly,sales,Total sales by site — last week,Grouped bar by site,Total sales per site — current vs prior week
57,Labour,,How does our labour efficiency compare during peak vs off-peak hours?,labour-how-does-our-labour-efficiency,eatin,Sales split · eat-in v takeaway v delivery,Donut chart,Part-of-whole split (locked to half width)
58,Labour,,Which sites would benefit most from a shift in staffing patterns?,labour-which-sites-would-benefit-most,waste-top10,Top 10 most wasted items · network,Ranked horizontal bar,Top N ranked by value
59,Labour,,What is the labour cost impact of staying open an extra hour on Sundays?,labour-what-is-the-labour-cost,waste-kpi,Total waste this week · estate,Big number + sparkline,Single metric with 8-period trend (locked to half width)
60,Labour,,How does our labour % benchmark against the industry standard for QSR?,labour-how-does-our-labour-benchmark,labour-pct,Labour % of sales · vs target,Bullet chart,Actual vs target per site with threshold markers
61,Waste,,What is our total recorded waste value across all sites this week?,waste-what-is-our-total-recorded,waste-kpi,Total waste this week · estate,Big number + sparkline,Single metric with 8-period trend (locked to half width)
62,Waste,,Which site has the highest waste as a percentage of food and drink cost?,waste-which-site-has-the-highest,labour,Revenue per labour hour by site,Coloured bar by site,"Single £/metric per site, coloured by threshold"
63,Waste,,What are the top 10 most wasted items across the network?,waste-what-are-the-top-10,waste-top10,Top 10 most wasted items · network,Ranked horizontal bar,Top N ranked by value
64,Waste,,How does waste volume compare on Mondays vs Fridays?,waste-how-does-waste-volume-compare,labour-day-radial,Labour cost % by day of week,Radial / polar bars,Cyclic day-of-week data (locked to half width)
65,Waste,,"Which category generates the most waste — food, drink, or packaging?",waste-which-category-generates-the-most,waste-category-treemap,Waste by category · nested,Treemap,Nested category proportions
66,Waste,,What percentage of our waste is recorded at end of day vs during service?,waste-what-percentage-of-our-waste,eatin,Sales split · eat-in v takeaway v delivery,Donut chart,Part-of-whole split (locked to half width)
67,Waste,,How has total waste trended over the last 12 weeks?,waste-how-has-total-waste-trended,waste-trend-stacked,Waste trend · 12 weeks by reason,Stacked area,Composition over time
68,Waste,,Which sites are logging waste consistently and which have gaps in recording?,waste-which-sites-are-logging-waste,labour-pct,Labour % of sales · vs target,Bullet chart,Actual vs target per site with threshold markers
69,Waste,,What is the financial impact of waste at each site per month?,waste-what-is-the-financial-impact,sales,Total sales by site — last week,Grouped bar by site,Total sales per site — current vs prior week
70,Waste,,Which day of the week sees the most waste across the network?,waste-which-day-of-the-week,labour-day-radial,Labour cost % by day of week,Radial / polar bars,Cyclic day-of-week data (locked to half width)
71,Waste,,How does waste compare between high-volume and low-volume trading days?,waste-how-does-waste-compare-between,eatin,Sales split · eat-in v takeaway v delivery,Donut chart,Part-of-whole split (locked to half width)
72,Waste,,What is the waste rate for our fresh pastry range?,waste-what-is-the-waste-rate,waste-kpi,Total waste this week · estate,Big number + sparkline,Single metric with 8-period trend (locked to half width)
73,Waste,,Which sites have reduced waste the most following the new production planning rules?,waste-which-sites-have-reduced-waste,growth,Month-on-month growth by site,Horizontal diverging bar,Per-site ± change around zero
74,Waste,,How much waste could be prevented if production accuracy improved by 10%?,waste-how-much-waste-could-be,waste-kpi,Total waste this week · estate,Big number + sparkline,Single metric with 8-period trend (locked to half width)
75,Waste,,What is the average waste cost per customer transaction?,waste-what-is-the-average-waste,waste-kpi,Total waste this week · estate,Big number + sparkline,Single metric with 8-period trend (locked to half width)
76,Waste,,Which items are most frequently wasted due to overproduction vs spoilage?,waste-which-items-are-most-frequently,eatin,Sales split · eat-in v takeaway v delivery,Donut chart,Part-of-whole split (locked to half width)
77,Waste,,How does waste recording compliance compare across site managers?,waste-how-does-waste-recording-compliance,labour-pct,Labour % of sales · vs target,Bullet chart,Actual vs target per site with threshold markers
78,Waste,,What is the waste trend for our made-to-order vs pre-made range?,waste-what-is-the-waste-trend,lfl,This week v same week last year,Multi-series line,Period-over-period comparison (two lines)
79,Waste,,How much of our total waste is attributable to the last hour of trading?,waste-how-much-of-our-total,waste-heatmap,Waste heatmap · day × hour,Heatmap (custom SVG),Day-of-week × hour-of-day intensity grid
80,Waste,,What would reducing waste by 20% mean for COGS % across the network?,waste-what-would-reducing-waste-by,waste-kpi,Total waste this week · estate,Big number + sparkline,Single metric with 8-period trend (locked to half width)
81,Production,General,What did we plan to produce vs what we actually made across all sites yesterday?,production-what-did-we-plan-to,labour-hours,Actual vs scheduled labour hours · this week,Grouped bar,Two side-by-side bars per category
82,Production,General,Which sites consistently over-produce against their production plan?,production-which-sites-consistently-over-produce,growth,Month-on-month growth by site,Horizontal diverging bar,Per-site ± change around zero
83,Production,General,How has production accuracy trended over the last 8 weeks?,production-how-has-production-accuracy-trended,trend,Revenue trend — last 12 weeks,Area chart,Single-metric area over time (12-week default)
84,Production,General,Which products have the highest variance between planned and actual production?,production-which-products-have-the-highest,produced-sold,Produced v sold · yesterday,Dumbbell (custom SVG),"Two values per item, connected by a line"
85,Production,General,What is the average sell-through rate for our fresh range by end of day?,production-what-is-the-average-sell,labour-pct,Labour % of sales · vs target,Bullet chart,Actual vs target per site with threshold markers
86,Production,General,Which site is most accurately matching production to sales demand?,production-which-site-is-most-accurately,labour-pct,Labour % of sales · vs target,Bullet chart,Actual vs target per site with threshold markers
87,Production,General,How does production volume on Mondays compare to the rest of the week?,production-how-does-production-volume-on,labour-day-radial,Labour cost % by day of week,Radial / polar bars,Cyclic day-of-week data (locked to half width)
88,Production,General,Which items are we regularly running out of before close of trading?,production-which-items-are-we-regularly,waste-top10,Top 10 most wasted items · network,Ranked horizontal bar,Top N ranked by value
89,Production,General,What percentage of production is being wasted vs sold across the network?,production-what-percentage-of-production-is,eatin,Sales split · eat-in v takeaway v delivery,Donut chart,Part-of-whole split (locked to half width)
90,Production,General,How does production accuracy differ between morning prep and afternoon batches?,production-how-does-production-accuracy-differ,eatin,Sales split · eat-in v takeaway v delivery,Donut chart,Part-of-whole split (locked to half width)
91,Production,General,Which sites are producing to a plan vs producing from habit?,production-which-sites-are-producing-to,labour-pct,Labour % of sales · vs target,Bullet chart,Actual vs target per site with threshold markers
92,Production,General,What is the gap between production plan and actual for our top 5 SKUs?,production-what-is-the-gap-between,produced-sold,Produced v sold · yesterday,Dumbbell (custom SVG),"Two values per item, connected by a line"
93,Production,General,How has the introduction of production planning targets affected waste at each site?,production-how-has-the-introduction-of,trend,Revenue trend — last 12 weeks,Area chart,Single-metric area over time (12-week default)
94,Production,General,Which products have the shortest shelf life and highest risk of waste?,production-which-products-have-the-shortest,waste-top10,Top 10 most wasted items · network,Ranked horizontal bar,Top N ranked by value
95,Production,General,What would the waste saving be if all sites hit their production plan accuracy?,production-what-would-the-waste-saving,waste-kpi,Total waste this week · estate,Big number + sparkline,Single metric with 8-period trend (locked to half width)
96,Production,General,How does weekend production planning accuracy compare to weekday?,production-how-does-weekend-production-planning,eatin,Sales split · eat-in v takeaway v delivery,Donut chart,Part-of-whole split (locked to half width)
97,Production,General,Which site managers have the best record for following production plans?,production-which-site-managers-have-the,labour-pct,Labour % of sales · vs target,Bullet chart,Actual vs target per site with threshold markers
98,Production,General,What is the average time between production and sale for our fresh bakery range?,production-what-is-the-average-time,waste-kpi,Total waste this week · estate,Big number + sparkline,Single metric with 8-period trend (locked to half width)
99,Production,General,How much are we over-producing in the last hour of trading across the network?,production-how-much-are-we-over,waste-heatmap,Waste heatmap · day × hour,Heatmap (custom SVG),Day-of-week × hour-of-day intensity grid
100,Production,General,Which new menu items have the least reliable production planning data?,production-which-new-menu-items-have,waste-top10,Top 10 most wasted items · network,Ranked horizontal bar,Top N ranked by value
101,Production,Produced v sold,Which items had the biggest gap between units produced and units sold yesterday?,production-which-items-had-the-biggest,produced-sold,Produced v sold · yesterday,Dumbbell (custom SVG),"Two values per item, connected by a line"
102,Production,Produced v sold,What is the average sell-through rate per item across all sites this week?,production-what-is-the-average-sell-2,labour,Revenue per labour hour by site,Coloured bar by site,"Single £/metric per site, coloured by threshold"
103,Production,Produced v sold,Which sites consistently sell out of produced items before close?,production-which-sites-consistently-sell-out,waste-top10,Top 10 most wasted items · network,Ranked horizontal bar,Top N ranked by value
104,Production,Produced v sold,How many units of our top 10 products were produced vs sold last Monday?,production-how-many-units-of-our,produced-sold,Produced v sold · yesterday,Dumbbell (custom SVG),"Two values per item, connected by a line"
105,Production,Produced v sold,Which items have a sell-through rate below 80% on a regular basis?,production-which-items-have-a-sell,waste-top10,Top 10 most wasted items · network,Ranked horizontal bar,Top N ranked by value
106,Production,Produced v sold,What is the produced vs sold ratio for our fresh bakery range this month?,production-what-is-the-produced-vs,waste-kpi,Total waste this week · estate,Big number + sparkline,Single metric with 8-period trend (locked to half width)
107,Production,Produced v sold,Which day of the week has the worst sell-through performance across the network?,production-which-day-of-the-week,labour-day-radial,Labour cost % by day of week,Radial / polar bars,Cyclic day-of-week data (locked to half width)
108,Production,Produced v sold,How does produced vs sold compare between high-volume and low-volume sites?,production-how-does-produced-vs-sold,eatin,Sales split · eat-in v takeaway v delivery,Donut chart,Part-of-whole split (locked to half width)
109,Production,Produced v sold,Which items are we producing more than 20% above what we actually sell?,production-which-items-are-we-producing,waste-top10,Top 10 most wasted items · network,Ranked horizontal bar,Top N ranked by value
110,Production,Produced v sold,What would our waste cost be if produced vs sold was within 5% for every item?,production-what-would-our-waste-cost,waste-kpi,Total waste this week · estate,Big number + sparkline,Single metric with 8-period trend (locked to half width)
111,Production,Produced v sold,How has the produced vs sold gap changed since we introduced production planning targets?,production-how-has-the-produced-vs,trend,Revenue trend — last 12 weeks,Area chart,Single-metric area over time (12-week default)
112,Production,Produced v sold,Which site has the tightest produced vs sold ratio across all products?,production-which-site-has-the-tightest,labour,Revenue per labour hour by site,Coloured bar by site,"Single £/metric per site, coloured by threshold"
113,Production,Produced v sold,How does produced vs sold performance vary across dayparts?,production-how-does-produced-vs-sold-2,daypart,Revenue by daypart · per site,Horizontal stacked bar,Composition by daypart per site
114,Production,Produced v sold,Which new product launches have the worst produced vs sold accuracy?,production-which-new-product-launches-have,waste-top10,Top 10 most wasted items · network,Ranked horizontal bar,Top N ranked by value
115,Production,Produced v sold,What is the financial value of unsold produced items across the network per week?,production-what-is-the-financial-value,waste-kpi,Total waste this week · estate,Big number + sparkline,Single metric with 8-period trend (locked to half width)
116,Production,Produced v sold,"Which items regularly sell more than produced, suggesting we are under-planning?",production-which-items-regularly-sell-more,produced-sold,Produced v sold · yesterday,Dumbbell (custom SVG),"Two values per item, connected by a line"
117,Production,Produced v sold,How does the produced vs sold ratio for hot food compare to cold food?,production-how-does-the-produced-vs,eatin,Sales split · eat-in v takeaway v delivery,Donut chart,Part-of-whole split (locked to half width)
118,Production,Produced v sold,Which sites have improved their produced vs sold accuracy the most in the last 3 months?,production-which-sites-have-improved-their,growth,Month-on-month growth by site,Horizontal diverging bar,Per-site ± change around zero
119,Production,Produced v sold,What is the produced vs sold trend for seasonal items vs core range?,production-what-is-the-produced-vs-2,waste-trend-stacked,Waste trend · 12 weeks by reason,Stacked area,Composition over time
120,Production,Produced v sold,"If we reduced over-production by 15%, what would the COGS saving be per site?",production-if-we-reduced-over-production,waste-kpi,Total waste this week · estate,Big number + sparkline,Single metric with 8-period trend (locked to half width)
121,Production,Availability,Which items are most frequently out of stock before the end of trading?,production-which-items-are-most-frequently,oos-pareto,Out-of-stock Pareto · items driving stockouts,Pareto (bar + cumulative line),Ranked bars with cumulative % and 80% reference line
122,Production,Availability,What time of day do we typically run out of our top 5 selling products?,production-what-time-of-day-do,hour,Revenue by hour — weekday average,Bar chart by hour,Weekday revenue by hour of day
123,Production,Availability,Which sites have the most availability failures in the last 30 days?,production-which-sites-have-the-most,waste-top10,Top 10 most wasted items · network,Ranked horizontal bar,Top N ranked by value
124,Production,Availability,How many times did we run out of a core range item during peak trading hours this week?,production-how-many-times-did-we,waste-kpi,Total waste this week · estate,Big number + sparkline,Single metric with 8-period trend (locked to half width)
125,Production,Availability,What percentage of our menu is available at 2pm vs when we open?,production-what-percentage-of-our-menu,eatin,Sales split · eat-in v takeaway v delivery,Donut chart,Part-of-whole split (locked to half width)
126,Production,Availability,Which sites are under-producing and causing the most availability gaps?,production-which-sites-are-under-producing,waste-top10,Top 10 most wasted items · network,Ranked horizontal bar,Top N ranked by value
127,Production,Availability,How does availability of fresh items compare between morning and afternoon?,production-how-does-availability-of-fresh,eatin,Sales split · eat-in v takeaway v delivery,Donut chart,Part-of-whole split (locked to half width)
128,Production,Availability,"Which product category has the most frequent stockouts — food, drink, or bakery?",production-which-product-category-has-the,waste-category-treemap,Waste by category · nested,Treemap,Nested category proportions
129,Production,Availability,What is the lost revenue estimate from availability failures last month?,production-what-is-the-lost-revenue,waste-kpi,Total waste this week · estate,Big number + sparkline,Single metric with 8-period trend (locked to half width)
130,Production,Availability,How does availability performance differ between weekdays and weekends?,production-how-does-availability-performance-differ,eatin,Sales split · eat-in v takeaway v delivery,Donut chart,Part-of-whole split (locked to half width)
131,Production,Availability,Which items should we be producing in a second batch based on sell-through speed?,production-which-items-should-we-be,waste-top10,Top 10 most wasted items · network,Ranked horizontal bar,Top N ranked by value
132,Production,Availability,How often do we run out of a product within 2 hours of opening?,production-how-often-do-we-run,waste-kpi,Total waste this week · estate,Big number + sparkline,Single metric with 8-period trend (locked to half width)
133,Production,Availability,Which sites maintain the best full-range availability throughout the trading day?,production-which-sites-maintain-the-best,labour-pct,Labour % of sales · vs target,Bullet chart,Actual vs target per site with threshold markers
134,Production,Availability,What is the correlation between low production plan adherence and availability failures?,production-what-is-the-correlation-between,prod-avail-scatter,Production adherence × availability failures,Scatter plot,"Two variables per site, bubble size = third metric"
135,Production,Availability,How has availability improved or declined since introducing production planning?,production-how-has-availability-improved-or,trend,Revenue trend — last 12 weeks,Area chart,Single-metric area over time (12-week default)
136,Production,Availability,Which high-margin items are most at risk of availability failures?,production-which-high-margin-items-are,waste-top10,Top 10 most wasted items · network,Ranked horizontal bar,Top N ranked by value
137,Production,Availability,How many customer-facing availability gaps occurred across the network this week?,production-how-many-customer-facing-availability,waste-kpi,Total waste this week · estate,Big number + sparkline,Single metric with 8-period trend (locked to half width)
138,Production,Availability,Which day of the week sees the most availability failures across all sites?,production-which-day-of-the-week-2,labour-day-radial,Labour cost % by day of week,Radial / polar bars,Cyclic day-of-week data (locked to half width)
139,Production,Availability,What is the average duration of an out-of-stock event per site per day?,production-what-is-the-average-duration,labour,Revenue per labour hour by site,Coloured bar by site,"Single £/metric per site, coloured by threshold"
140,Production,Availability,Which items need a minimum production floor to prevent availability failures?,production-which-items-need-a-minimum,waste-top10,Top 10 most wasted items · network,Ranked horizontal bar,Top N ranked by value
141,Production,Closing range,How many SKUs are still available at close of trading across all sites?,production-how-many-skus-are-still,waste-kpi,Total waste this week · estate,Big number + sparkline,Single metric with 8-period trend (locked to half width)
142,Production,Closing range,Which sites consistently have too much range left at close?,production-which-sites-consistently-have-too,waste-top10,Top 10 most wasted items · network,Ranked horizontal bar,Top N ranked by value
143,Production,Closing range,What is the average number of items remaining at close vs planned close range?,production-what-is-the-average-number,labour-hours,Actual vs scheduled labour hours · this week,Grouped bar,Two side-by-side bars per category
144,Production,Closing range,Which items are most commonly left over at end of day?,production-which-items-are-most-commonly,waste-top10,Top 10 most wasted items · network,Ranked horizontal bar,Top N ranked by value
145,Production,Closing range,How does closing range compare between a Monday and a Friday?,production-how-does-closing-range-compare,labour-day-radial,Labour cost % by day of week,Radial / polar bars,Cyclic day-of-week data (locked to half width)
146,Production,Closing range,Which sites are hitting their target closing range most consistently?,production-which-sites-are-hitting-their,labour-pct,Labour % of sales · vs target,Bullet chart,Actual vs target per site with threshold markers
147,Production,Closing range,What is the value of closing range waste across the network per week?,production-what-is-the-value-of,waste-kpi,Total waste this week · estate,Big number + sparkline,Single metric with 8-period trend (locked to half width)
148,Production,Closing range,How many items in the closing range could have been avoided with better production planning?,production-how-many-items-in-the,waste-kpi,Total waste this week · estate,Big number + sparkline,Single metric with 8-period trend (locked to half width)
149,Production,Closing range,"Which product categories contribute most to excess closing range — hot food, cold food, or bakery?",production-which-product-categories-contribute-most,waste-category-treemap,Waste by category · nested,Treemap,Nested category proportions
150,Production,Closing range,How does closing range at our top-performing site differ from our worst?,production-how-does-closing-range-at,labour-hours,Actual vs scheduled labour hours · this week,Grouped bar,Two side-by-side bars per category
151,Production,Closing range,What time do sites typically fall below their target closing range?,production-what-time-do-sites-typically,hour,Revenue by hour — weekday average,Bar chart by hour,Weekday revenue by hour of day
152,Production,Closing range,Which items are regularly in the closing range despite low demand signals?,production-which-items-are-regularly-in,waste-top10,Top 10 most wasted items · network,Ranked horizontal bar,Top N ranked by value
153,Production,Closing range,How has closing range waste trended since production planning was introduced?,production-how-has-closing-range-waste,trend,Revenue trend — last 12 weeks,Area chart,Single-metric area over time (12-week default)
154,Production,Closing range,Which sites have reduced their closing range the most in the last quarter?,production-which-sites-have-reduced-their,growth,Month-on-month growth by site,Horizontal diverging bar,Per-site ± change around zero
155,Production,Closing range,What would the financial impact be of reducing closing range by 20% network-wide?,production-what-would-the-financial-impact,waste-kpi,Total waste this week · estate,Big number + sparkline,Single metric with 8-period trend (locked to half width)
156,Production,Closing range,How does closing range on a bank holiday compare to a regular trading day?,production-how-does-closing-range-on,eatin,Sales split · eat-in v takeaway v delivery,Donut chart,Part-of-whole split (locked to half width)
157,Production,Closing range,Which managers have the best record for hitting target closing range?,production-which-managers-have-the-best,labour-pct,Labour % of sales · vs target,Bullet chart,Actual vs target per site with threshold markers
158,Production,Closing range,What is the relationship between closing range volume and waste cost per site?,production-what-is-the-relationship-between,prod-avail-scatter,Production adherence × availability failures,Scatter plot,"Two variables per site, bubble size = third metric"
159,Production,Closing range,Are there items we should stop producing after a certain time to reduce closing range?,production-are-there-items-we-should,waste-top10,Top 10 most wasted items · network,Ranked horizontal bar,Top N ranked by value
160,Production,Closing range,How does our closing range compare to our production plan targets for end of day?,production-how-does-our-closing-range,labour-pct,Labour % of sales · vs target,Bullet chart,Actual vs target per site with threshold markers
161,Production,Efficiency,How long does it take each site to complete their morning production run on average?,production-how-long-does-it-take,labour,Revenue per labour hour by site,Coloured bar by site,"Single £/metric per site, coloured by threshold"
162,Production,Efficiency,Which sites are completing production tasks within the planned time window?,production-which-sites-are-completing-production,labour-pct,Labour % of sales · vs target,Bullet chart,Actual vs target per site with threshold markers
163,Production,Efficiency,What is the output per production hour across each site this week?,production-what-is-the-output-per,labour,Revenue per labour hour by site,Coloured bar by site,"Single £/metric per site, coloured by threshold"
164,Production,Efficiency,Which products take the most time to produce relative to their sales volume?,production-which-products-take-the-most,waste-top10,Top 10 most wasted items · network,Ranked horizontal bar,Top N ranked by value
